"","QW","S - Comp","NGD","WGD","Isc","Jsc (mA/cm2","Voc (V","FF (%","Efficiency (%"
"QW","1","-6.5260912196275E-18","3.1353965603388E-17","-8.3531979053532E-18","0.54425080692563","0.54425080134326","-0.26964855778049","-0.33443596141822","0.34170865946706"
"S - Comp","-6.5260912196275E-18","1","6.300737535723E-17","-2.0242149217263E-16","-0.11450798384503","-0.11450807029581","0.43911158382503","0.1488093167176","0.15381262417345"
"NGD","3.1353965603388E-17","6.300737535723E-17","1","-4.4968899335662E-17","-0.51205318528195","-0.51205316972715","-0.67143614737917","-0.71132025341607","-0.66170778800612"
"WGD","-8.3531979053532E-18","-2.0242149217263E-16","-4.4968899335662E-17","1","-0.081225790817557","-0.08122573439976","-0.098486013120555","-0.11434665234681","-0.1008769993013"
"Isc","0.54425080692563","-0.11450798384503","-0.51205318528195","-0.081225790817557","1","0.99999999999581","0.19714481416513","0.25237422863888","0.83464559940617"
"Jsc (mA/cm2","0.54425080134326","-0.11450807029581","-0.51205316972715","-0.08122573439976","0.99999999999581","1","0.19714477841417","0.2523742393139","0.83464560029809"
"Voc (V","-0.26964855778049","0.43911158382503","-0.67143614737917","-0.098486013120555","0.19714481416513","0.19714477841417","1","0.91888882238448","0.65275197451738"
"FF (%","-0.33443596141822","0.1488093167176","-0.71132025341607","-0.11434665234681","0.25237422863888","0.2523742393139","0.91888882238448","1","0.65006156495924"
"Efficiency (%","0.34170865946706","0.15381262417345","-0.66170778800612","-0.1008769993013","0.83464559940617","0.83464560029809","0.65275197451738","0.65006156495924","1"
