"QW","S - Comp","NGD","WGD","Isc","Jsc (mA/cm2","Voc (V","FF (%","Efficiency (%"
"3","0.8","1000000000000","0.1","4.08E-10","20.40","1.039","88.29","18.72"
"4","0.8","1000000000000","0.1","4.29E-10","21.43","1.041","88.18","19.67"
"5","0.8","1000000000000","0.1","4.49E-10","22.44","1.054","89.48","21.16"
"10","0.8","1000000000000","0.1","5.26E-10","26.31","1.037","88.82","24.23"
"20","0.8","1000000000000","0.1","6.26E-10","31.32","1.034","88.84","28.78"
"30","0.8","1000000000000","0.1","6.88E-10","34.40","1.031","88.83","31.51"
"50","0.8","1000000000000","0.1","7.61E-10","38.07","1.026","88.68","34.63"
"70","0.8","1000000000000","0.1","8.06E-10","40.29","1.022","88.43","36.42"
"100","0.8","1000000000000","0.1","8.51E-10","42.55","1.016","88.49","38.27"
"2","0.8","10000000000000","0.1","3.85E-10","19.26","1.038","88.35","17.66"
"3","0.8","10000000000000","0.1","4.08E-10","20.38","1.041","88.11","18.69"
"4","0.8","10000000000000","0.1","4.29E-10","21.43","1.041","88.18","19.67"
"5","0.8","10000000000000","0.1","4.49E-10","22.44","1.054","89.48","21.16"
"10","0.8","10000000000000","0.1","5.26E-10","26.31","1.037","88.82","24.23"
"20","0.8","10000000000000","0.1","6.26E-10","31.32","1.034","88.80","28.76"
"30","0.8","10000000000000","0.1","6.88E-10","34.40","1.031","88.74","31.47"
"50","0.8","10000000000000","0.1","7.61E-10","38.07","1.025","88.50","34.54"
"70","0.8","10000000000000","0.1","8.06E-10","40.29","1.022","88.28","36.34"
"100","0.8","10000000000000","0.1","8.51E-10","42.55","1.016","88.30","38.16"
"2","0.8","100000000000000","0.1","3.85E-10","19.26","1.038","88.35","17.66"
"3","0.8","100000000000000","0.1","4.07E-10","20.37","1.041","88.11","18.68"
"4","0.8","100000000000000","0.1","4.28E-10","21.42","1.041","88.18","19.66"
"5","0.8","100000000000000","0.1","4.49E-10","22.43","1.054","89.47","21.15"
"10","0.8","100000000000000","0.1","5.26E-10","26.31","1.035","88.75","24.17"
"20","0.8","100000000000000","0.1","6.26E-10","31.32","1.031","88.34","28.52"
"30","0.8","100000000000000","0.1","6.88E-10","34.40","1.027","87.79","31.02"
"50","0.8","100000000000000","0.1","7.61E-10","38.06","1.021","87.32","33.95"
"70","0.8","100000000000000","0.1","8.06E-10","40.29","1.015","86.97","35.57"
"100","0.8","100000000000000","0.1","8.51E-10","42.55","1.008","86.68","37.16"
"2","0.8","1000000000000000","0.1","3.85E-10","19.23","1.037","88.37","17.62"
"3","0.8","1000000000000000","0.1","4.07E-10","20.35","1.040","88.09","18.65"
"4","0.8","1000000000000000","0.1","4.28E-10","21.40","1.040","88.13","19.62"
"5","0.8","1000000000000000","0.1","4.48E-10","22.41","1.050","89.32","21.02"
"10","0.8","1000000000000000","0.1","5.26E-10","26.29","1.023","87.93","23.66"
"20","0.8","1000000000000000","0.1","6.26E-10","31.30","1.009","86.57","27.34"
"30","0.8","1000000000000000","0.1","6.88E-10","34.39","1.000","85.43","29.38"
"50","0.8","1000000000000000","0.1","7.61E-10","38.05","0.984","84.53","31.65"
"70","0.8","1000000000000000","0.1","8.06E-10","40.28","0.973","84.04","32.94"
"100","0.8","1000000000000000","0.1","8.51E-10","42.54","0.961","83.74","34.25"
"2","0.8","1.0E+16","0.1","3.79E-10","18.97","1.028","88.35","17.24"
"3","0.8","1.0E+16","0.1","4.02E-10","20.09","1.032","88.16","18.27"
"4","0.8","1.0E+16","0.1","4.24E-10","21.20","1.014","88.23","18.97"
"5","0.8","1.0E+16","0.1","4.44E-10","22.18","1.028","88.30","20.14"
"10","0.8","1.0E+16","0.1","5.22E-10","26.09","0.977","86.58","22.08"
"20","0.8","1.0E+16","0.1","6.23E-10","31.14","0.942","85.22","24.99"
"30","0.8","1.0E+16","0.1","6.85E-10","34.25","0.922","84.49","26.67"
"50","0.8","1.0E+16","0.1","7.59E-10","37.94","0.900","83.60","28.54"
"70","0.8","1.0E+16","0.1","8.04E-10","40.19","0.885","83.14","29.58"
"100","0.8","1.0E+16","0.1","8.49E-10","42.46","0.872","82.78","30.64"
"2","0.8","1.0E+17","0.1","3.48E-10","17.42","0.995","87.94","15.25"
"3","0.8","1.0E+17","0.1","3.72E-10","18.58","0.975","87.53","15.86"
"4","0.8","1.0E+17","0.1","3.95E-10","19.74","0.961","87.35","16.57"
"5","0.8","1.0E+17","0.1","4.16E-10","20.78","0.970","87.25","17.58"
"10","0.8","1.0E+17","0.1","4.98E-10","24.89","0.900","84.87","19.02"
"20","0.8","1.0E+17","0.1","6.04E-10","30.18","0.849","83.29","21.35"
"30","0.8","1.0E+17","0.1","6.69E-10","33.43","0.828","82.42","22.82"
"50","0.8","1.0E+17","0.1","7.46E-10","37.28","0.809","81.63","24.63"
"70","0.8","1.0E+17","0.1","7.92E-10","39.61","0.800","80.84","25.63"
"100","0.8","1.0E+17","0.1","8.39E-10","41.96","0.789","79.96","26.46"
"2","0.8","1.0E+18","0.1","3.01E-10","15.06","0.933","87.24","12.26"
"3","0.8","1.0E+18","0.1","3.24E-10","16.22","0.901","86.33","12.62"
"4","0.8","1.0E+18","0.1","3.51E-10","17.53","0.873","85.79","13.12"
"5","0.8","1.0E+18","0.1","3.73E-10","18.64","0.874","85.55","13.95"
"10","0.8","1.0E+18","0.1","4.61E-10","23.07","0.780","81.27","14.62"
"20","0.8","1.0E+18","0.1","5.75E-10","28.73","0.751","79.93","17.25"
"30","0.8","1.0E+18","0.1","6.44E-10","32.18","0.743","79.02","18.89"
"50","0.8","1.0E+18","0.1","7.24E-10","36.18","0.732","76.78","20.33"
"70","0.8","1.0E+18","0.1","7.61E-10","38.05","0.728","72.80","20.16"
"100","0.8","1.0E+18","0.1","7.59E-10","37.93","0.712","67.28","18.16"
"2","0.8","1E+19","0.1","2.82E-10","14.11","0.813","85.52","9.82"
"3","0.8","1E+19","0.1","3.04E-10","15.22","0.748","84.15","9.58"
"4","0.8","1E+19","0.1","3.33E-10","16.64","0.718","81.35","9.72"
"5","0.8","1E+19","0.1","3.56E-10","17.78","0.741","79.96","10.54"
"10","0.8","1E+19","0.1","4.47E-10","22.33","0.682","77.57","11.82"
"20","0.8","1E+19","0.1","5.60E-10","28.00","0.672","74.77","14.07"
"30","0.8","1E+19","0.1","6.10E-10","30.48","0.665","70.33","14.26"
"50","0.8","1E+19","0.1","5.51E-10","27.54","0.647","62.03","11.05"
"70","0.8","1E+19","0.1","3.66E-10","18.28","0.652","58.92","7.02"
"100","0.8","1E+19","0.1","2.08E-10","10.40","0.627","58.28","3.80"
"2","0.8","1000000000000","0.15","3.85E-10","19.26","1.038","88.35","17.66"
"3","0.8","1000000000000","0.15","4.08E-10","20.40","1.039","88.29","18.72"
"4","0.8","1000000000000","0.15","4.29E-10","21.43","1.041","88.18","19.67"
"5","0.8","1000000000000","0.15","4.49E-10","22.44","1.054","89.48","21.16"
"10","0.8","1000000000000","0.15","5.26E-10","26.31","1.037","88.82","24.23"
"20","0.8","1000000000000","0.15","6.26E-10","31.32","1.034","88.83","28.78"
"30","0.8","1000000000000","0.15","6.88E-10","34.40","1.031","88.81","31.50"
"50","0.8","1000000000000","0.15","7.61E-10","38.07","1.026","88.64","34.61"
"70","0.8","1000000000000","0.15","8.06E-10","40.29","1.022","88.39","36.40"
"100","0.8","1000000000000","0.15","8.51E-10","42.55","1.016","88.44","38.25"
"2","0.8","10000000000000","0.15","3.85E-10","19.26","1.038","88.35","17.66"
"3","0.8","10000000000000","0.15","4.08E-10","20.38","1.041","88.11","18.69"
"4","0.8","10000000000000","0.15","4.29E-10","21.43","1.041","88.18","19.67"
"5","0.8","10000000000000","0.15","4.49E-10","22.44","1.054","89.47","21.16"
"10","0.8","10000000000000","0.15","5.26E-10","26.31","1.036","88.80","24.22"
"20","0.8","10000000000000","0.15","6.26E-10","31.32","1.033","88.69","28.71"
"30","0.8","10000000000000","0.15","6.88E-10","34.40","1.030","88.52","31.37"
"50","0.8","10000000000000","0.15","7.61E-10","38.07","1.025","88.07","34.35"
"70","0.8","10000000000000","0.15","8.06E-10","40.29","1.021","87.92","36.16"
"100","0.8","10000000000000","0.15","8.51E-10","42.55","1.014","87.84","37.89"
"2","0.8","100000000000000","0.15","3.85E-10","19.25","1.038","88.35","17.65"
"3","0.8","100000000000000","0.15","4.07E-10","20.37","1.041","88.11","18.68"
"4","0.8","100000000000000","0.15","4.28E-10","21.42","1.041","88.17","19.66"
"5","0.8","100000000000000","0.15","4.49E-10","22.43","1.053","89.44","21.13"
"10","0.8","100000000000000","0.15","5.26E-10","26.31","1.032","88.57","24.06"
"20","0.8","100000000000000","0.15","6.26E-10","31.32","1.026","87.52","28.13"
"30","0.8","100000000000000","0.15","6.88E-10","34.40","1.022","86.62","30.44"
"50","0.8","100000000000000","0.15","7.61E-10","38.06","1.011","85.74","33.01"
"70","0.8","100000000000000","0.15","8.06E-10","40.29","1.004","85.03","34.40"
"100","0.8","100000000000000","0.15","8.51E-10","42.55","0.995","84.63","35.84"
"2","0.8","1000000000000000","0.15","3.84E-10","19.21","1.036","88.39","17.58"
"3","0.8","1000000000000000","0.15","4.07E-10","20.33","1.039","88.09","18.61"
"4","0.8","1000000000000000","0.15","4.28E-10","21.38","1.038","88.14","19.56"
"5","0.8","1000000000000000","0.15","4.48E-10","22.39","1.045","88.85","20.79"
"10","0.8","1000000000000000","0.15","5.25E-10","26.27","1.009","87.19","23.10"
"20","0.8","1000000000000000","0.15","6.26E-10","31.29","0.983","85.52","26.31"
"30","0.8","1000000000000000","0.15","6.87E-10","34.37","0.966","84.54","28.08"
"50","0.8","1000000000000000","0.15","7.61E-10","38.04","0.946","83.53","30.05"
"70","0.8","1000000000000000","0.15","8.05E-10","40.27","0.932","82.86","31.10"
"100","0.8","1000000000000000","0.15","8.51E-10","42.54","0.918","82.41","32.20"
"2","0.8","1.0E+16","0.15","3.76E-10","18.79","1.023","88.07","16.92"
"3","0.8","1.0E+16","0.15","3.99E-10","19.93","1.010","87.88","17.69"
"4","0.8","1.0E+16","0.15","4.20E-10","21.02","1.000","87.75","18.44"
"5","0.8","1.0E+16","0.15","4.40E-10","22.01","1.008","87.59","19.43"
"10","0.8","1.0E+16","0.15","5.19E-10","25.95","0.946","85.75","21.05"
"20","0.8","1.0E+16","0.15","6.21E-10","31.03","0.902","83.73","23.43"
"30","0.8","1.0E+16","0.15","6.83E-10","34.15","0.877","82.74","24.77"
"50","0.8","1.0E+16","0.15","7.57E-10","37.86","0.851","81.75","26.33"
"70","0.8","1.0E+16","0.15","8.02E-10","40.11","0.838","81.27","27.32"
"100","0.8","1.0E+16","0.15","8.48E-10","42.39","0.824","80.71","28.21"
"2","0.8","1.0E+17","0.15","3.36E-10","16.79","0.980","87.57","14.41"
"3","0.8","1.0E+17","0.15","3.59E-10","17.95","0.952","87.23","14.91"
"4","0.8","1.0E+17","0.15","3.83E-10","19.15","0.932","86.89","15.51"
"5","0.8","1.0E+17","0.15","4.04E-10","20.21","0.935","86.36","16.32"
"10","0.8","1.0E+17","0.15","4.88E-10","24.40","0.842","83.24","17.10"
"20","0.8","1.0E+17","0.15","5.96E-10","29.79","0.790","80.35","18.92"
"30","0.8","1.0E+17","0.15","6.62E-10","33.08","0.777","79.84","20.51"
"50","0.8","1.0E+17","0.15","7.39E-10","36.97","0.764","78.69","22.21"
"70","0.8","1.0E+17","0.15","7.84E-10","39.19","0.755","77.11","22.82"
"100","0.8","1.0E+17","0.15","8.08E-10","40.42","0.764","73.58","22.73"
"2","0.8","1.0E+18","0.15","2.94E-10","14.72","0.905","86.74","11.55"
"3","0.8","1.0E+18","0.15","3.17E-10","15.83","0.881","85.64","11.94"
"4","0.8","1.0E+18","0.15","3.44E-10","17.19","0.797","84.48","11.57"
"5","0.8","1.0E+18","0.15","3.66E-10","18.31","0.839","83.59","12.84"
"10","0.8","1.0E+18","0.15","4.56E-10","22.78","0.715","78.22","12.74"
"20","0.8","1.0E+18","0.15","5.68E-10","28.42","0.703","76.74","15.34"
"30","0.8","1.0E+18","0.15","6.31E-10","31.56","0.697","74.61","16.41"
"50","0.8","1.0E+18","0.15","6.52E-10","32.59","0.686","68.85","15.39"
"70","0.8","1.0E+18","0.15","5.65E-10","28.27","0.673","63.76","12.13"
"100","0.8","1.0E+18","0.15","3.77E-10","18.87","0.652","60.61","7.46"
"2","0.8","1E+19","0.15","2.80E-10","14.02","0.701","82.70","8.12"
"3","0.8","1E+19","0.15","3.03E-10","15.14","0.652","77.53","7.65"
"4","0.8","1E+19","0.15","3.31E-10","16.55","0.644","76.28","8.13"
"5","0.8","1E+19","0.15","3.54E-10","17.68","0.679","76.78","9.21"
"10","0.8","1E+19","0.15","4.38E-10","21.91","0.633","73.29","10.16"
"20","0.8","1E+19","0.15","4.72E-10","23.58","0.625","66.87","9.86"
"30","0.8","1E+19","0.15","3.69E-10","18.46","0.609","60.85","6.84"
"50","0.8","1E+19","0.15","1.57E-10","7.84","0.602","60.15","2.84"
"70","0.8","1E+19","0.15","8.93E-11","4.46","0.581","60.86","1.58"
"100","0.8","1E+19","0.15","5.32E-11","2.66","0.561","61.70","0.92"
"2","0.8","1000000000000","0.2","3.85E-10","19.26","1.038","88.35","17.66"
"3","0.8","1000000000000","0.2","4.08E-10","20.38","1.041","88.11","18.69"
"4","0.8","1000000000000","0.2","4.29E-10","21.43","1.041","88.18","19.67"
"5","0.8","1000000000000","0.2","4.49E-10","22.44","1.054","89.48","21.16"
"10","0.8","1000000000000","0.2","5.26E-10","26.31","1.037","88.82","24.23"
"20","0.8","1000000000000","0.2","6.26E-10","31.32","1.034","88.81","28.77"
"30","0.8","1000000000000","0.2","6.88E-10","34.40","1.031","88.78","31.49"
"50","0.8","1000000000000","0.2","7.61E-10","38.07","1.026","88.58","34.59"
"70","0.8","1000000000000","0.2","8.06E-10","40.29","1.022","88.34","36.38"
"100","0.8","1000000000000","0.2","8.51E-10","42.55","1.016","88.38","38.21"
"2","0.8","10000000000000","0.2","3.85E-10","19.26","1.038","88.35","17.66"
"3","0.8","10000000000000","0.2","4.08E-10","20.38","1.041","88.11","18.69"
"4","0.8","10000000000000","0.2","4.29E-10","21.43","1.041","88.18","19.67"
"5","0.8","10000000000000","0.2","4.49E-10","22.44","1.054","89.47","21.16"
"10","0.8","10000000000000","0.2","5.26E-10","26.31","1.036","88.78","24.20"
"20","0.8","10000000000000","0.2","6.26E-10","31.32","1.033","88.55","28.64"
"30","0.8","10000000000000","0.2","6.88E-10","34.40","1.029","88.23","31.24"
"50","0.8","10000000000000","0.2","7.61E-10","38.07","1.024","87.74","34.19"
"70","0.8","10000000000000","0.2","8.06E-10","40.29","1.020","87.44","35.92"
"100","0.8","10000000000000","0.2","8.51E-10","42.55","1.012","87.18","37.53"
"2","0.8","100000000000000","0.2","3.85E-10","19.25","1.038","88.36","17.65"
"3","0.8","100000000000000","0.2","4.08E-10","20.39","1.038","88.31","18.69"
"4","0.8","100000000000000","0.2","4.28E-10","21.42","1.041","88.16","19.65"
"5","0.8","100000000000000","0.2","4.49E-10","22.43","1.052","89.39","21.10"
"10","0.8","100000000000000","0.2","5.26E-10","26.31","1.030","88.29","23.91"
"20","0.8","100000000000000","0.2","6.26E-10","31.32","1.022","86.79","27.77"
"30","0.8","100000000000000","0.2","6.88E-10","34.40","1.013","85.79","29.90"
"50","0.8","100000000000000","0.2","7.61E-10","38.06","1.002","84.51","32.22"
"70","0.8","100000000000000","0.2","8.06E-10","40.29","0.992","83.84","33.49"
"100","0.8","100000000000000","0.2","8.51E-10","42.55","0.981","83.32","34.79"
"2","0.8","1000000000000000","0.2","3.84E-10","19.18","1.035","88.40","17.54"
"3","0.8","1000000000000000","0.2","4.06E-10","20.30","1.038","88.11","18.57"
"4","0.8","1000000000000000","0.2","4.27E-10","21.36","1.036","88.15","19.51"
"5","0.8","1000000000000000","0.2","4.47E-10","22.37","1.041","88.51","20.61"
"10","0.8","1000000000000000","0.2","5.25E-10","26.26","0.997","86.70","22.69"
"20","0.8","1000000000000000","0.2","6.26E-10","31.28","0.963","85.06","25.61"
"30","0.8","1000000000000000","0.2","6.87E-10","34.36","0.943","84.01","27.23"
"50","0.8","1000000000000000","0.2","7.61E-10","38.03","0.920","82.78","28.98"
"70","0.8","1000000000000000","0.2","8.05E-10","40.26","0.905","82.13","29.93"
"100","0.8","1000000000000000","0.2","8.51E-10","42.53","0.890","81.56","30.86"
"2","0.8","1.0E+16","0.2","3.72E-10","18.61","1.018","88.07","16.68"
"3","0.8","1.0E+16","0.2","3.95E-10","19.75","1.002","87.59","17.33"
"4","0.8","1.0E+16","0.2","4.17E-10","20.85","0.986","87.48","17.99"
"5","0.8","1.0E+16","0.2","4.37E-10","21.85","0.992","87.35","18.94"
"10","0.8","1.0E+16","0.2","5.16E-10","25.81","0.925","85.06","20.31"
"20","0.8","1.0E+16","0.2","6.18E-10","30.92","0.872","82.39","22.20"
"30","0.8","1.0E+16","0.2","6.81E-10","34.05","0.845","81.24","23.36"
"50","0.8","1.0E+16","0.2","7.56E-10","37.78","0.821","80.60","25.01"
"70","0.8","1.0E+16","0.2","8.01E-10","40.03","0.809","80.07","25.93"
"100","0.8","1.0E+16","0.2","8.46E-10","42.29","0.798","79.27","26.75"
"2","0.8","1.0E+17","0.2","3.27E-10","16.36","0.967","87.60","13.86"
"3","0.8","1.0E+17","0.2","3.51E-10","17.53","0.937","86.87","14.26"
"4","0.8","1.0E+17","0.2","3.75E-10","18.74","0.911","86.33","14.74"
"5","0.8","1.0E+17","0.2","3.96E-10","19.82","0.907","85.58","15.38"
"10","0.8","1.0E+17","0.2","4.81E-10","24.06","0.796","80.66","15.44"
"20","0.8","1.0E+17","0.2","5.90E-10","29.51","0.759","78.98","17.69"
"30","0.8","1.0E+17","0.2","6.57E-10","32.83","0.749","78.34","19.26"
"50","0.8","1.0E+17","0.2","7.30E-10","36.51","0.740","76.44","20.66"
"70","0.8","1.0E+17","0.2","7.49E-10","37.45","0.751","73.12","20.56"
"100","0.8","1.0E+17","0.2","7.25E-10","36.26","0.722","68.63","17.97"
"2","0.8","1.0E+18","0.2","2.91E-10","14.53","0.878","86.19","11.00"
"3","0.8","1.0E+18","0.2","3.13E-10","15.66","0.787","84.63","10.43"
"4","0.8","1.0E+18","0.2","3.40E-10","17.01","0.732","81.25","10.12"
"5","0.8","1.0E+18","0.2","3.63E-10","18.13","0.745","78.93","10.66"
"10","0.8","1.0E+18","0.2","4.52E-10","22.61","0.685","76.65","11.86"
"20","0.8","1.0E+18","0.2","5.57E-10","27.85","0.681","74.44","14.13"
"30","0.8","1.0E+18","0.2","5.87E-10","29.35","0.679","70.16","13.98"
"50","0.8","1.0E+18","0.2","4.22E-10","21.11","0.682","62.39","8.99"
"70","0.8","1.0E+18","0.2","2.59E-10","12.93","0.663","61.47","5.27"
"100","0.8","1.0E+18","0.2","1.36E-10","6.78","0.638","61.77","2.67"
"2","0.8","1E+19","0.2","2.80E-10","14.01","0.627","76.55","6.72"
"3","0.8","1E+19","0.2","3.03E-10","15.16","0.613","74.63","6.93"
"4","0.8","1E+19","0.2","3.30E-10","16.51","0.610","74.42","7.49"
"5","0.8","1E+19","0.2","3.52E-10","17.62","0.648","75.51","8.62"
"10","0.8","1E+19","0.2","4.01E-10","20.06","0.614","69.39","8.54"
"20","0.8","1E+19","0.2","2.41E-10","12.03","0.614","60.60","4.48"
"30","0.8","1E+19","0.2","1.39E-10","6.94","0.594","62.45","2.57"
"50","0.8","1E+19","0.2","6.76E-11","3.38","0.566","63.26","1.21"
"70","0.8","1E+19","0.2","4.29E-11","2.14","0.548","63.98","0.75"
"100","0.8","1E+19","0.2","2.83E-11","1.42","0.532","64.41","0.49"
"2","0.8","1000000000000","0.25","3.85E-10","19.26","1.038","88.35","17.66"
"3","0.8","1000000000000","0.25","4.08E-10","20.40","1.039","88.29","18.72"
"4","0.8","1000000000000","0.25","4.29E-10","21.47","1.037","88.83","19.77"
"5","0.8","1000000000000","0.25","4.49E-10","22.44","1.054","89.48","21.16"
"10","0.8","1000000000000","0.25","5.26E-10","26.31","1.037","88.82","24.23"
"20","0.8","1000000000000","0.25","6.26E-10","31.32","1.034","88.80","28.76"
"30","0.8","1000000000000","0.25","6.88E-10","34.40","1.031","88.75","31.48"
"50","0.8","1000000000000","0.25","7.61E-10","38.07","1.026","88.52","34.56"
"70","0.8","1000000000000","0.25","8.06E-10","40.29","1.022","88.29","36.35"
"100","0.8","1000000000000","0.25","8.51E-10","42.55","1.016","88.31","38.17"
"2","0.8","10000000000000","0.25","3.85E-10","19.26","1.038","88.35","17.66"
"3","0.8","10000000000000","0.25","4.08E-10","20.38","1.041","88.11","18.69"
"4","0.8","10000000000000","0.25","4.29E-10","21.43","1.041","88.18","19.67"
"5","0.8","10000000000000","0.25","4.49E-10","22.44","1.054","89.47","21.15"
"10","0.8","10000000000000","0.25","5.26E-10","26.31","1.036","88.76","24.19"
"20","0.8","10000000000000","0.25","6.26E-10","31.32","1.032","88.39","28.57"
"30","0.8","10000000000000","0.25","6.88E-10","34.40","1.028","87.89","31.09"
"50","0.8","10000000000000","0.25","7.61E-10","38.07","1.023","87.36","34.01"
"70","0.8","10000000000000","0.25","8.06E-10","40.29","1.017","86.96","35.65"
"100","0.8","10000000000000","0.25","8.51E-10","42.55","1.010","86.59","37.20"
"2","0.8","100000000000000","0.25","3.85E-10","19.25","1.038","88.36","17.65"
"3","0.8","100000000000000","0.25","4.07E-10","20.37","1.041","88.10","18.67"
"4","0.8","100000000000000","0.25","4.28E-10","21.42","1.041","88.15","19.65"
"5","0.8","100000000000000","0.25","4.49E-10","22.43","1.051","89.34","21.07"
"10","0.8","100000000000000","0.25","5.26E-10","26.31","1.027","87.93","23.75"
"20","0.8","100000000000000","0.25","6.26E-10","31.32","1.015","86.31","27.44"
"30","0.8","100000000000000","0.25","6.88E-10","34.40","1.005","85.09","29.43"
"50","0.8","100000000000000","0.25","7.61E-10","38.06","0.991","83.83","31.61"
"70","0.8","100000000000000","0.25","8.06E-10","40.29","0.981","83.08","32.83"
"100","0.8","100000000000000","0.25","8.51E-10","42.55","0.967","82.69","34.02"
"2","0.8","1000000000000000","0.25","3.83E-10","19.16","1.033","88.40","17.51"
"3","0.8","1000000000000000","0.25","4.06E-10","20.30","1.029","88.18","18.42"
"4","0.8","1000000000000000","0.25","4.27E-10","21.33","1.034","88.13","19.45"
"5","0.8","1000000000000000","0.25","4.47E-10","22.35","1.035","88.36","20.44"
"10","0.8","1000000000000000","0.25","5.25E-10","26.24","0.986","86.50","22.37"
"20","0.8","1000000000000000","0.25","6.25E-10","31.26","0.948","84.79","25.12"
"30","0.8","1000000000000000","0.25","6.87E-10","34.35","0.926","83.54","26.57"
"50","0.8","1000000000000000","0.25","7.60E-10","38.02","0.902","82.13","28.15"
"70","0.8","1000000000000000","0.25","8.05E-10","40.25","0.886","81.49","29.06"
"100","0.8","1000000000000000","0.25","8.50E-10","42.52","0.870","80.98","29.97"
"2","0.8","1.0E+16","0.25","3.69E-10","18.44","1.012","88.13","16.45"
"3","0.8","1.0E+16","0.25","3.92E-10","19.59","0.993","87.60","17.04"
"4","0.8","1.0E+16","0.25","4.14E-10","20.70","0.978","87.40","17.69"
"5","0.8","1.0E+16","0.25","4.34E-10","21.70","0.981","87.06","18.54"
"10","0.8","1.0E+16","0.25","5.14E-10","25.68","0.908","84.48","19.71"
"20","0.8","1.0E+16","0.25","6.16E-10","30.81","0.848","81.04","21.17"
"30","0.8","1.0E+16","0.25","6.79E-10","33.96","0.822","80.47","22.47"
"50","0.8","1.0E+16","0.25","7.54E-10","37.70","0.802","79.93","24.17"
"70","0.8","1.0E+16","0.25","7.99E-10","39.94","0.792","79.34","25.09"
"100","0.8","1.0E+16","0.25","8.41E-10","42.05","0.782","78.04","25.66"
"2","0.8","1.0E+17","0.25","3.21E-10","16.06","0.959","87.32","13.45"
"3","0.8","1.0E+17","0.25","3.45E-10","17.23","0.923","86.51","13.75"
"4","0.8","1.0E+17","0.25","3.69E-10","18.46","0.892","85.81","14.13"
"5","0.8","1.0E+17","0.25","3.91E-10","19.54","0.882","85.05","14.67"
"10","0.8","1.0E+17","0.25","4.76E-10","23.82","0.764","79.06","14.40"
"20","0.8","1.0E+17","0.25","5.86E-10","29.31","0.741","78.20","16.98"
"30","0.8","1.0E+17","0.25","6.52E-10","32.58","0.735","77.49","18.55"
"50","0.8","1.0E+17","0.25","7.06E-10","35.32","0.747","73.93","19.51"
"70","0.8","1.0E+17","0.25","6.78E-10","33.92","0.740","69.36","17.40"
"100","0.8","1.0E+17","0.25","5.62E-10","28.08","0.709","64.55","12.85"
"2","0.8","1.0E+18","0.25","2.88E-10","14.41","0.846","85.81","10.47"
"3","0.8","1.0E+18","0.25","3.11E-10","15.53","0.734","82.67","9.43"
"4","0.8","1.0E+18","0.25","3.38E-10","16.89","0.692","78.16","9.13"
"5","0.8","1.0E+18","0.25","3.60E-10","18.01","0.718","77.52","10.03"
"10","0.8","1.0E+18","0.25","4.49E-10","22.43","0.671","75.84","11.42"
"20","0.8","1.0E+18","0.25","5.33E-10","26.63","0.677","71.33","12.85"
"30","0.8","1.0E+18","0.25","4.57E-10","22.84","0.689","63.50","9.99"
"50","0.8","1.0E+18","0.25","2.39E-10","11.93","0.664","62.60","4.96"
"70","0.8","1.0E+18","0.25","1.35E-10","6.77","0.642","63.05","2.74"
"100","0.8","1.0E+18","0.25","7.38E-11","3.69","0.618","64.09","1.46"
"2","0.8","1E+19","0.25","2.80E-10","14.00","0.603","74.52","6.29"
"3","0.8","1E+19","0.25","3.02E-10","15.10","0.601","73.13","6.63"
"4","0.8","1E+19","0.25","3.26E-10","16.28","0.602","72.17","7.07"
"5","0.8","1E+19","0.25","3.48E-10","17.38","0.643","73.86","8.25"
"10","0.8","1E+19","0.25","3.03E-10","15.15","0.617","61.71","5.77"
"20","0.8","1E+19","0.25","1.38E-10","6.89","0.588","63.09","2.56"
"30","0.8","1E+19","0.25","8.54E-11","4.27","0.569","63.15","1.54"
"50","0.8","1E+19","0.25","4.43E-11","2.21","0.542","63.22","0.76"
"70","0.8","1E+19","0.25","2.94E-11","1.47","0.525","63.44","0.49"
"100","0.8","1E+19","0.25","2.02E-11","1.01","0.508","63.77","0.33"
